0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:28 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 500 1518
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:31 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:31 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:33 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 500 3281
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:33 -0500] "GET /Meerkat_0.0/consultarproductosvista/consultarproductos.jsp HTTP/1.1" 500 3311
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:58 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:04:58 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:00 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:00 -0500] "GET /Meerkat_0.0/consultarproductosvista/consultarproductos.jsp HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:01 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:01 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 4328
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:10 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:11 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:11 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:11 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:43 -0500] "GET /Meerkat_0.0/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:43 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:44 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:44 -0500] "GET /Meerkat_0.0/consultarproductosvista/consultarproductos.jsp HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:44 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [04/Sep/2015:16:05:44 -0500] "POST /Meerkat_0.0/mesero HTTP/1.1" 200 4328
